Date,Open,High,Low,Close ,Adj Close ,Volume
28-Feb-25,"8,525.00","8,675.00","8,425.00","8,475.00","8,475.00","100,887,700"
27-Feb-25,"8,800.00","8,800.00","8,500.00","8,525.00","8,525.00","199,991,600"
26-Feb-25,"8,800.00","8,900.00","8,725.00","8,775.00","8,775.00","117,843,500"
25-Feb-25,"8,900.00","9,000.00","8,825.00","8,825.00","8,825.00","101,592,700"
24-Feb-25,"8,925.00","8,975.00","8,875.00","8,925.00","8,925.00","108,530,300"
21-Feb-25,"8,950.00","9,000.00","8,925.00","9,000.00","9,000.00","106,054,700"
20-Feb-25,"8,975.00","9,025.00","8,950.00","9,000.00","9,000.00","119,260,800"
19-Feb-25,"9,225.00","9,250.00","8,950.00","8,950.00","8,950.00","154,438,200"
18-Feb-25,"9,325.00","9,575.00","9,250.00","9,300.00","9,300.00","107,318,300"
17-Feb-25,"8,975.00","9,325.00","8,975.00","9,325.00","9,325.00","89,096,400"
14-Feb-25,"9,000.00","9,075.00","8,950.00","8,975.00","8,975.00","116,274,500"
13-Feb-25,"9,100.00","9,150.00","9,000.00","9,000.00","9,000.00","90,439,700"
12-Feb-25,"8,950.00","9,150.00","8,950.00","9,150.00","9,150.00","121,172,600"
11-Feb-25,"9,025.00","9,100.00","9,000.00","9,075.00","9,075.00","71,188,300"
10-Feb-25,"9,025.00","9,250.00","9,025.00","9,150.00","9,150.00","76,209,100"
7-Feb-25,"8,950.00","9,350.00","8,825.00","9,350.00","9,350.00","131,162,200"
6-Feb-25,"9,075.00","9,100.00","8,850.00","8,950.00","8,950.00","171,477,800"
5-Feb-25,"9,100.00","9,175.00","9,100.00","9,125.00","9,125.00","98,229,900"
4-Feb-25,"9,350.00","9,400.00","9,175.00","9,175.00","9,175.00","94,607,700"
3-Feb-25,"9,400.00","9,400.00","9,225.00","9,350.00","9,350.00","90,439,900"
31-Jan-25,"9,250.00","9,500.00","9,225.00","9,450.00","9,450.00","112,982,800"
30-Jan-25,"9,150.00","9,275.00","9,150.00","9,150.00","9,150.00","154,645,800"
24-Jan-25,"9,625.00","9,650.00","9,350.00","9,350.00","9,350.00","152,057,000"
23-Jan-25,"9,600.00","9,750.00","9,600.00","9,600.00","9,600.00","120,515,400"
22-Jan-25,"9,650.00","9,675.00","9,575.00","9,600.00","9,600.00","90,154,800"
21-Jan-25,"9,600.00","9,675.00","9,550.00","9,575.00","9,575.00","124,547,900"
20-Jan-25,"9,850.00","9,875.00","9,625.00","9,625.00","9,625.00","112,111,200"
17-Jan-25,"9,750.00","9,900.00","9,650.00","9,900.00","9,900.00","71,033,100"
16-Jan-25,"9,850.00","9,925.00","9,750.00","9,750.00","9,750.00","76,979,000"
15-Jan-25,"9,575.00","9,800.00","9,550.00","9,800.00","9,800.00","77,098,000"
14-Jan-25,"9,600.00","9,725.00","9,525.00","9,525.00","9,525.00","70,942,600"
13-Jan-25,"9,625.00","9,725.00","9,625.00","9,675.00","9,675.00","88,270,100"
10-Jan-25,"9,800.00","9,925.00","9,725.00","9,725.00","9,725.00","72,531,300"
9-Jan-25,"9,750.00","9,875.00","9,725.00","9,850.00","9,850.00","42,733,800"
8-Jan-25,"9,675.00","9,775.00","9,575.00","9,675.00","9,675.00","55,943,100"
7-Jan-25,"9,675.00","9,725.00","9,525.00","9,525.00","9,525.00","71,318,600"
6-Jan-25,"9,850.00","9,875.00","9,650.00","9,675.00","9,675.00","41,593,900"
3-Jan-25,"9,850.00","9,925.00","9,825.00","9,850.00","9,850.00","41,916,000"
2-Jan-25,"9,650.00","9,900.00","9,650.00","9,900.00","9,900.00","38,124,800"
30-Dec-24,"9,800.00","9,825.00","9,675.00","9,675.00","9,675.00","56,350,100"
27-Dec-24,"9,800.00","9,825.00","9,725.00","9,800.00","9,800.00","24,016,700"
