Date,Open,High,Low,Close ,Adj Close ,Volume
28-Feb-25,885,885,835,835,835,"68,591,800"
27-Feb-25,900,920,885,895,895,"21,933,700"
26-Feb-25,910,930,890,900,900,"21,909,500"
25-Feb-25,920,930,900,910,910,"21,777,000"
24-Feb-25,935,945,920,920,920,"18,996,400"
21-Feb-25,960,960,930,935,935,"21,598,700"
20-Feb-25,965,980,945,960,960,"21,047,400"
19-Feb-25,995,"1,000.00",965,965,965,"24,651,300"
18-Feb-25,990,"1,010.00",980,995,995,"50,424,200"
17-Feb-25,975,"1,000.00",960,990,990,"50,965,900"
14-Feb-25,940,985,935,975,975,"28,382,800"
13-Feb-25,925,945,920,940,940,"23,550,400"
12-Feb-25,920,940,910,930,930,"25,382,900"
11-Feb-25,940,955,905,920,920,"29,904,200"
10-Feb-25,965,965,940,945,945,"30,213,200"
7-Feb-25,970,980,955,965,965,"25,124,400"
6-Feb-25,995,"1,005.00",955,970,970,"44,182,900"
5-Feb-25,"1,005.00","1,010.00",990,995,995,"23,461,600"
4-Feb-25,"1,020.00","1,025.00","1,000.00","1,005.00","1,005.00","32,212,100"
3-Feb-25,"1,040.00","1,040.00","1,005.00","1,010.00","1,010.00","36,238,500"
31-Jan-25,"1,025.00","1,060.00","1,025.00","1,045.00","1,045.00","32,702,000"
30-Jan-25,"1,060.00","1,065.00","1,015.00","1,020.00","1,020.00","29,905,700"
24-Jan-25,"1,090.00","1,095.00","1,060.00","1,065.00","1,065.00","21,273,100"
23-Jan-25,"1,085.00","1,105.00","1,085.00","1,085.00","1,085.00","20,373,300"
22-Jan-25,"1,100.00","1,105.00","1,085.00","1,085.00","1,085.00","15,943,500"
21-Jan-25,"1,115.00","1,120.00","1,085.00","1,095.00","1,095.00","59,439,200"
20-Jan-25,"1,100.00","1,110.00","1,080.00","1,095.00","1,095.00","27,122,500"
17-Jan-25,"1,100.00","1,110.00","1,075.00","1,085.00","1,085.00","41,021,600"
16-Jan-25,"1,115.00","1,130.00","1,095.00","1,105.00","1,105.00","56,313,700"
15-Jan-25,"1,050.00","1,105.00","1,050.00","1,095.00","1,095.00","50,261,300"
14-Jan-25,"1,080.00","1,090.00","1,040.00","1,050.00","1,050.00","25,207,000"
13-Jan-25,"1,110.00","1,115.00","1,070.00","1,080.00","1,080.00","29,112,600"
10-Jan-25,"1,130.00","1,145.00","1,120.00","1,120.00","1,120.00","9,507,700"
9-Jan-25,"1,140.00","1,150.00","1,130.00","1,130.00","1,130.00","6,074,500"
8-Jan-25,"1,150.00","1,165.00","1,125.00","1,145.00","1,145.00","8,164,200"
7-Jan-25,"1,160.00","1,160.00","1,135.00","1,155.00","1,155.00","11,343,500"
6-Jan-25,"1,180.00","1,180.00","1,150.00","1,160.00","1,160.00","9,904,000"
3-Jan-25,"1,190.00","1,200.00","1,160.00","1,185.00","1,185.00","7,598,200"
2-Jan-25,"1,145.00","1,200.00","1,145.00","1,190.00","1,190.00","14,632,600"
30-Dec-24,"1,130.00","1,140.00","1,125.00","1,140.00","1,140.00","5,928,800"
27-Dec-24,"1,130.00","1,145.00","1,130.00","1,135.00","1,135.00","8,187,200"
24-Dec-24,"1,135.00","1,150.00","1,130.00","1,130.00","1,130.00","7,787,300"
23-Dec-24,"1,140.00","1,150.00","1,130.00","1,140.00","1,140.00","12,581,700"
20-Dec-24,"1,110.00","1,125.00","1,105.00","1,125.00","1,125.00","10,651,000"
19-Dec-24,"1,135.00","1,150.00","1,105.00","1,110.00","1,110.00","26,931,400"
18-Dec-24,"1,170.00","1,190.00","1,150.00","1,155.00","1,155.00","24,313,900"
17-Dec-24,"1,200.00","1,205.00","1,165.00","1,170.00","1,170.00","21,107,100"
16-Dec-24,"1,215.00","1,220.00","1,195.00","1,200.00","1,200.00","15,066,400"
13-Dec-24,"1,225.00","1,225.00","1,200.00","1,210.00","1,210.00","16,015,500"
12-Dec-24,"1,245.00","1,250.00","1,220.00","1,230.00","1,230.00","16,663,100"
11-Dec-24,"1,235.00","1,260.00","1,230.00","1,250.00","1,250.00","22,065,400"
10-Dec-24,"1,235.00","1,240.00","1,225.00","1,235.00","1,235.00","15,518,100"
9-Dec-24,"1,210.00","1,245.00","1,210.00","1,235.00","1,235.00","27,441,100"
6-Dec-24,"1,210.00","1,220.00","1,200.00","1,210.00","1,210.00","22,950,900"
