Date,Open,High,Low,Close ,Adj Close ,Volume
28-Feb-25,1615,1615,1505,1585,1585,1585
27-Feb-25,1630,1650,1610,1625,1625,1625
26-Feb-25,1635,1640,1605,1630,1625,1625
25-Feb-25,1650,1665,1600,1635,1625,1625
24-Feb-25,1630,1675,1630,1640,1625,1625
21-Feb-25,1685,1685,1620,1620,1625,1625
20-Feb-25,"1,575.00","1,650.00","1,570.00","1,630.00","1,630.00","38,668,800"
19-Feb-25,"1,565.00","1,595.00","1,560.00","1,575.00","1,575.00","64,348,100"
18-Feb-25,"1,555.00","1,570.00","1,535.00","1,550.00","1,550.00","33,927,800"
17-Feb-25,"1,530.00","1,560.00","1,515.00","1,555.00","1,555.00","67,708,700"
14-Feb-25,"1,475.00","1,535.00","1,475.00","1,530.00","1,530.00","121,036,100"
13-Feb-25,"1,395.00","1,470.00","1,395.00","1,470.00","1,470.00","90,550,900"
12-Feb-25,"1,405.00","1,405.00","1,380.00","1,395.00","1,395.00","33,267,100"
11-Feb-25,"1,405.00","1,420.00","1,380.00","1,400.00","1,400.00","52,510,000"
10-Feb-25,"1,435.00","1,435.00","1,380.00","1,385.00","1,385.00","40,971,800"
7-Feb-25,"1,400.00","1,435.00","1,365.00","1,430.00","1,430.00","54,097,100"
6-Feb-25,"1,450.00","1,455.00","1,385.00","1,400.00","1,400.00","60,107,000"
5-Feb-25,"1,410.00","1,450.00","1,395.00","1,450.00","1,450.00","87,360,400"
4-Feb-25,"1,395.00","1,420.00","1,395.00","1,400.00","1,400.00","67,722,800"
3-Feb-25,"1,395.00","1,405.00","1,355.00","1,380.00","1,380.00","49,107,900"
31-Jan-25,"1,405.00","1,420.00","1,385.00","1,390.00","1,390.00","61,882,500"
30-Jan-25,"1,490.00","1,490.00","1,385.00","1,395.00","1,395.00","92,858,400"
24-Jan-25,"1,490.00","1,505.00","1,475.00","1,490.00","1,490.00","19,564,100"
23-Jan-25,"1,525.00","1,525.00","1,480.00","1,490.00","1,490.00","30,835,200"
22-Jan-25,"1,515.00","1,540.00","1,510.00","1,520.00","1,520.00","23,644,500"
21-Jan-25,"1,510.00","1,525.00","1,500.00","1,510.00","1,510.00","22,004,000"
20-Jan-25,"1,515.00","1,535.00","1,500.00","1,510.00","1,510.00","19,484,000"
17-Jan-25,"1,530.00","1,540.00","1,505.00","1,520.00","1,520.00","14,490,400"
16-Jan-25,"1,535.00","1,550.00","1,510.00","1,520.00","1,520.00","32,746,500"
15-Jan-25,"1,520.00","1,530.00","1,505.00","1,530.00","1,530.00","28,123,600"
14-Jan-25,"1,480.00","1,535.00","1,465.00","1,520.00","1,520.00","59,977,600"
13-Jan-25,"1,475.00","1,495.00","1,455.00","1,480.00","1,480.00","40,835,000"
10-Jan-25,"1,425.00","1,480.00","1,425.00","1,465.00","1,465.00","43,730,900"
9-Jan-25,"1,435.00","1,440.00","1,410.00","1,420.00","1,420.00","30,949,900"
8-Jan-25,"1,445.00","1,465.00","1,425.00","1,430.00","1,430.00","34,414,800"
7-Jan-25,"1,470.00","1,480.00","1,430.00","1,435.00","1,435.00","36,008,100"
6-Jan-25,"1,525.00","1,540.00","1,460.00","1,465.00","1,465.00","28,169,500"
3-Jan-25,"1,560.00","1,560.00","1,520.00","1,520.00","1,520.00","18,198,800"
2-Jan-25,"1,530.00","1,560.00","1,520.00","1,545.00","1,545.00","33,508,800"
30-Dec-24,"1,525.00","1,545.00","1,490.00","1,525.00","1,525.00","42,238,300"
27-Dec-24,"1,440.00","1,535.00","1,440.00","1,525.00","1,525.00","51,044,700"
24-Dec-24,"1,460.00","1,465.00","1,435.00","1,435.00","1,435.00","19,521,500"
