Date,Open,High,Low,Close ,Adj Close ,Volume
28-Feb-25,"4,270.00","4,270.00","4,010.00","4,090.00","4,090.00","83,368,600"
27-Feb-25,"4,350.00","4,370.00","4,200.00","4,340.00","4,340.00","58,362,900"
26-Feb-25,"4,250.00","4,350.00","4,210.00","4,350.00","4,350.00","42,114,300"
25-Feb-25,"4,230.00","4,280.00","4,110.00","4,230.00","4,230.00","45,778,400"
24-Feb-25,"4,300.00","4,320.00","4,200.00","4,200.00","4,200.00","61,467,000"
21-Feb-25,"4,410.00","4,440.00","4,300.00","4,300.00","4,300.00","70,115,400"
20-Feb-25,"4,520.00","4,550.00","4,400.00","4,460.00","4,460.00","49,467,500"
19-Feb-25,"4,750.00","4,750.00","4,480.00","4,520.00","4,520.00","72,328,000"
18-Feb-25,"4,600.00","4,750.00","4,600.00","4,750.00","4,750.00","73,992,700"
17-Feb-25,"4,370.00","4,590.00","4,350.00","4,570.00","4,570.00","52,492,800"
14-Feb-25,"4,310.00","4,390.00","4,300.00","4,370.00","4,370.00","61,932,800"
13-Feb-25,"4,280.00","4,300.00","4,210.00","4,250.00","4,250.00","38,173,200"
12-Feb-25,"4,130.00","4,300.00","4,100.00","4,300.00","4,300.00","57,782,300"
11-Feb-25,"4,150.00","4,170.00","4,050.00","4,070.00","4,070.00","52,994,400"
10-Feb-25,"4,270.00","4,310.00","4,150.00","4,150.00","4,150.00","46,856,100"
7-Feb-25,"4,250.00","4,350.00","4,160.00","4,270.00","4,270.00","69,268,900"
6-Feb-25,"4,500.00","4,510.00","4,260.00","4,290.00","4,290.00","72,520,900"
5-Feb-25,"4,650.00","4,680.00","4,480.00","4,500.00","4,500.00","52,077,600"
4-Feb-25,"4,770.00","4,780.00","4,700.00","4,700.00","4,700.00","44,266,700"
3-Feb-25,"4,770.00","4,800.00","4,640.00","4,780.00","4,780.00","63,072,700"
31-Jan-25,"4,660.00","4,880.00","4,660.00","4,770.00","4,770.00","78,958,600"
30-Jan-25,"4,610.00","4,670.00","4,580.00","4,640.00","4,640.00","23,980,100"
24-Jan-25,"4,660.00","4,700.00","4,610.00","4,610.00","4,610.00","42,140,900"
23-Jan-25,"4,790.00","4,820.00","4,650.00","4,650.00","4,650.00","86,704,800"
22-Jan-25,"4,790.00","4,810.00","4,760.00","4,790.00","4,790.00","55,899,500"
21-Jan-25,"4,690.00","4,820.00","4,650.00","4,740.00","4,740.00","96,008,700"
20-Jan-25,"4,520.00","4,660.00","4,490.00","4,620.00","4,620.00","67,692,300"
17-Jan-25,"4,450.00","4,570.00","4,380.00","4,470.00","4,470.00","40,130,000"
16-Jan-25,"4,600.00","4,600.00","4,480.00","4,500.00","4,500.00","113,849,300"
15-Jan-25,"4,150.00","4,430.00","4,150.00","4,410.00","4,410.00","82,038,200"
14-Jan-25,"4,170.00","4,240.00","4,110.00","4,130.00","4,130.00","71,568,000"
13-Jan-25,"4,320.00","4,330.00","4,200.00","4,210.00","4,210.00","54,029,800"
10-Jan-25,"4,380.00","4,420.00","4,350.00","4,350.00","4,350.00","28,235,300"
9-Jan-25,"4,360.00","4,410.00","4,350.00","4,380.00","4,380.00","25,545,500"
8-Jan-25,"4,350.00","4,430.00","4,350.00","4,370.00","4,370.00","39,476,000"
7-Jan-25,"4,370.00","4,410.00","4,340.00","4,360.00","4,360.00","36,973,900"
