Date,Open,High,Low,Close ,Adj Close ,Volume
28-Feb-25,"4,620.00","4,690.00","4,550.00","4,620.00","4,620.00","292,076,300"
27-Feb-25,"4,930.00","4,950.00","4,660.00","4,660.00","4,660.00","334,919,800"
26-Feb-25,"4,860.00","4,980.00","4,850.00","4,920.00","4,920.00","161,836,900"
25-Feb-25,"5,000.00","5,025.00","4,860.00","4,870.00","4,870.00","224,607,800"
24-Feb-25,"5,050.00","5,075.00","4,980.00","5,025.00","5,025.00","127,578,500"
21-Feb-25,"5,000.00","5,100.00","5,000.00","5,075.00","5,075.00","152,528,600"
20-Feb-25,"5,125.00","5,225.00","5,100.00","5,150.00","5,150.00","98,363,500"
19-Feb-25,"5,375.00","5,400.00","5,125.00","5,175.00","5,175.00","204,335,500"
18-Feb-25,"5,450.00","5,550.00","5,375.00","5,450.00","5,450.00","157,430,200"
17-Feb-25,"5,200.00","5,475.00","5,175.00","5,425.00","5,425.00","223,837,300"
14-Feb-25,"5,100.00","5,200.00","4,970.00","5,125.00","5,125.00","239,709,300"
13-Feb-25,"4,940.00","5,075.00","4,900.00","5,025.00","5,025.00","215,271,400"
12-Feb-25,"4,920.00","4,950.00","4,830.00","4,940.00","4,940.00","225,073,300"
11-Feb-25,"4,750.00","4,950.00","4,750.00","4,880.00","4,880.00","316,743,200"
10-Feb-25,"5,150.00","5,150.00","4,990.00","5,000.00","5,000.00","169,384,300"
7-Feb-25,"5,000.00","5,150.00","4,950.00","5,150.00","5,150.00","407,896,100"
6-Feb-25,"5,425.00","5,425.00","5,000.00","5,100.00","5,100.00","642,118,700"
5-Feb-25,"5,600.00","5,600.00","5,475.00","5,525.00","5,525.00","185,656,000"
4-Feb-25,"5,825.00","5,850.00","5,625.00","5,675.00","5,675.00","121,871,500"
3-Feb-25,"5,975.00","6,000.00","5,700.00","5,800.00","5,800.00","182,181,700"
31-Jan-25,"6,175.00","6,225.00","6,025.00","6,025.00","6,025.00","107,861,000"
30-Jan-25,"6,100.00","6,225.00","6,075.00","6,100.00","6,100.00","101,400,400"
24-Jan-25,"6,250.00","6,250.00","6,125.00","6,125.00","6,125.00","96,161,800"
23-Jan-25,"6,200.00","6,300.00","6,175.00","6,175.00","6,175.00","120,893,700"
22-Jan-25,"6,150.00","6,200.00","6,100.00","6,150.00","6,150.00","117,929,800"
21-Jan-25,"6,100.00","6,175.00","6,025.00","6,050.00","6,050.00","115,355,900"
20-Jan-25,"6,000.00","6,050.00","5,925.00","6,000.00","6,000.00","84,338,400"
17-Jan-25,"5,800.00","6,050.00","5,750.00","5,875.00","5,875.00","114,054,600"
16-Jan-25,"6,075.00","6,200.00","5,850.00","5,875.00","5,875.00","204,359,900"
15-Jan-25,"5,475.00","5,825.00","5,450.00","5,750.00","5,750.00","194,025,700"
14-Jan-25,"5,425.00","5,575.00","5,400.00","5,400.00","5,400.00","97,351,900"
13-Jan-25,"5,500.00","5,550.00","5,475.00","5,525.00","5,525.00","99,953,900"
10-Jan-25,"5,750.00","5,775.00","5,600.00","5,600.00","5,600.00","77,751,500"
9-Jan-25,"5,725.00","5,775.00","5,700.00","5,750.00","5,750.00","56,491,700"
8-Jan-25,"5,600.00","5,750.00","5,600.00","5,750.00","5,750.00","118,246,100"
7-Jan-25,"5,600.00","5,650.00","5,550.00","5,600.00","5,600.00","96,982,300"
6-Jan-25,"5,825.00","5,825.00","5,650.00","5,675.00","5,675.00","68,443,700"
3-Jan-25,"5,850.00","5,875.00","5,775.00","5,800.00","5,800.00","58,067,100"
2-Jan-25,"5,700.00","5,850.00","5,700.00","5,850.00","5,850.00","82,914,600"
30-Dec-24,"5,675.00","5,750.00","5,650.00","5,700.00","5,700.00","96,782,100"
27-Dec-24,"5,750.00","5,850.00","5,750.00","5,800.00","5,800.00","46,126,800"
24-Dec-24,"5,825.00","5,875.00","5,750.00","5,750.00","5,750.00","41,240,900"
23-Dec-24,"5,800.00","5,875.00","5,725.00","5,825.00","5,825.00","82,910,100"
20-Dec-24,"5,675.00","5,750.00","5,625.00","5,675.00","5,675.00","148,568,600"
19-Dec-24,"5,625.00","5,725.00","5,600.00","5,675.00","5,675.00","277,793,000"
18-Dec-24,"5,925.00","6,000.00","5,775.00","5,825.00","5,825.00","153,164,600"
17-Dec-24,"6,050.00","6,075.00","5,925.00","5,950.00","5,950.00","72,109,300"
16-Dec-24,"5,900.00","6,100.00","5,900.00","6,075.00","6,075.00","105,375,900"
13-Dec-24,"6,025.00","6,100.00","5,975.00","6,025.00","6,025.00","135,581,400"
12-Dec-24,"6,200.00","6,225.00","6,100.00","6,125.00","6,125.00","96,707,500"
11-Dec-24,"6,300.00","6,400.00","6,300.00","6,300.00","6,300.00","62,509,600"
10-Dec-24,"6,275.00","6,325.00","6,225.00","6,300.00","6,300.00","92,245,000"
9-Dec-24,"6,175.00","6,375.00","6,175.00","6,375.00","6,375.00","74,220,300"
6-Dec-24,"6,200.00","6,275.00","6,125.00","6,225.00","6,225.00","75,989,700"
5-Dec-24,"6,350.00","6,375.00","6,150.00","6,150.00","6,150.00","69,528,700"
4-Dec-24,"6,275.00","6,450.00","6,225.00","6,375.00","6,375.00","75,260,000"
3-Dec-24,"6,100.00","6,275.00","6,100.00","6,275.00","6,275.00","99,509,800"
2-Dec-24,"6,175.00","6,250.00","5,975.00","6,000.00","6,000.00","114,555,300"
29-Nov-24,"6,325.00","6,375.00","6,125.00","6,150.00","6,150.00","157,628,700"
28-Nov-24,"6,350.00","6,525.00","6,350.00","6,450.00","6,450.00","81,883,200"
26-Nov-24,"6,600.00","6,600.00","6,325.00","6,400.00","6,400.00","107,194,300"
25-Nov-24,"6,325.00","6,600.00","6,325.00","6,575.00","6,575.00","183,449,100"
22-Nov-24,"6,125.00","6,300.00","6,100.00","6,250.00","6,250.00","80,236,400"
21-Nov-24,"6,225.00","6,225.00","6,125.00","6,150.00","6,150.00","76,579,300"
20-Nov-24,"6,325.00","6,350.00","6,200.00","6,225.00","6,225.00","68,707,200"
19-Nov-24,"6,375.00","6,375.00","6,225.00","6,250.00","6,250.00","95,495,700"
18-Nov-24,"6,350.00","6,425.00","6,225.00","6,325.00","6,325.00","77,471,700"
15-Nov-24,"6,300.00","6,400.00","6,300.00","6,350.00","6,350.00","41,079,700"
14-Nov-24,"6,375.00","6,475.00","6,350.00","6,375.00","6,375.00","69,750,600"
13-Nov-24,"6,500.00","6,550.00","6,400.00","6,425.00","6,425.00","102,748,300"
12-Nov-24,"6,375.00","6,450.00","6,325.00","6,375.00","6,375.00","117,281,700"
11-Nov-24,"6,300.00","6,450.00","6,150.00","6,350.00","6,350.00","125,606,000"
8-Nov-24,"6,425.00","6,525.00","6,275.00","6,325.00","6,325.00","192,423,000"
7-Nov-24,"6,500.00","6,550.00","6,425.00","6,425.00","6,425.00","154,758,500"
6-Nov-24,"6,925.00","6,925.00","6,550.00","6,550.00","6,550.00","147,272,800"
5-Nov-24,"6,725.00","6,950.00","6,675.00","6,925.00","6,925.00","88,661,200"
4-Nov-24,"6,600.00","6,800.00","6,525.00","6,750.00","6,750.00","80,208,800"
1-Nov-24,"6,725.00","6,725.00","6,550.00","6,650.00","6,650.00","101,423,100"
