Date,Open,High,Low,Close,Adj Close ,Volume
28-Feb-25,24825,24825,23600,23700,23700,23700
27-Feb-25,24700,25475,24650,24825,24825,24825
26-Feb-25,24775,25000,24400,24675,24825,24825
25-Feb-25,25175,25250,24700,24285,24825,24825
24-Feb-25,25275,25325,25100,25200,24825,24825
21-Feb-25,25250,25400,25100,25275,24825,24825
20-Feb-25,"25,700.00","25,725.00","25,200.00","25,250.00","25,250.00","322,200"
19-Feb-25,"25,775.00","25,975.00","25,575.00","25,700.00","25,700.00","728,200"
18-Feb-25,"25,725.00","25,975.00","25,675.00","25,775.00","25,775.00","352,400"
17-Feb-25,"25,600.00","25,725.00","25,375.00","25,725.00","25,725.00","533,100"
14-Feb-25,"25,375.00","25,600.00","25,375.00","25,600.00","25,600.00","453,200"
13-Feb-25,"25,350.00","25,425.00","25,100.00","25,425.00","25,425.00","344,100"
12-Feb-25,"25,700.00","25,700.00","25,025.00","25,350.00","25,350.00","619,300"
11-Feb-25,"25,200.00","25,325.00","25,050.00","25,075.00","25,075.00","660,800"
10-Feb-25,"25,825.00","25,825.00","25,200.00","25,200.00","25,200.00","417,400"
7-Feb-25,"25,475.00","25,975.00","25,075.00","25,675.00","25,675.00","691,800"
6-Feb-25,"26,050.00","26,050.00","25,300.00","25,450.00","25,450.00","925,900"
5-Feb-25,"26,500.00","26,500.00","25,850.00","26,050.00","26,050.00","583,900"
4-Feb-25,"26,075.00","26,150.00","25,825.00","25,875.00","25,875.00","376,800"
3-Feb-25,"25,875.00","26,075.00","25,675.00","26,075.00","26,075.00","709,200"
31-Jan-25,"25,900.00","25,900.00","25,550.00","25,875.00","25,875.00","683,500"
30-Jan-25,"26,300.00","26,300.00","25,800.00","25,900.00","25,900.00","683,300"
24-Jan-25,"26,400.00","26,500.00","26,300.00","26,325.00","26,325.00","426,400"
23-Jan-25,"26,425.00","26,625.00","26,325.00","26,400.00","26,400.00","826,200"
22-Jan-25,"26,150.00","26,575.00","26,125.00","26,425.00","26,425.00","1,068,000"
