Date,Open,High,Low,Close,Adj Close ,Volume
28-Feb-25,2070,2100,2010,2070,2070,2070
27-Feb-25,2130,2150,2050,2070,2070,8572200
26-Feb-25,2110,2150,2080,2110,2110,8572200
25-Feb-25,2180,2190,2080,2100,2100,8572200
24-Feb-25,2180,2220,2150,2190,2190,8572200
21-Feb-25,2200,2240,2180,2180,2180,8572200
20-Feb-25,2250,2250,2190,2210,2210,8572200
19-Feb-25,2270,2290,2210,2250,2250,30930100
18-Feb-25,2280,2300,2250,2260,2260,31548300
17-Feb-25,2240,2300,2210,2280,2280,26585800
14-Feb-25,2220,2240,2200,2240,2240,25653500
13-Feb-25,2240,2250,2190,2210,2210,25864900
12-Feb-25,2150,2260,2140,2240,2240,51489500
11-Feb-25,2210,2220,2120,2150,2150,55581600
10-Feb-25,2270,2270,2200,2210,2210,40513300
7-Feb-25,2290,2290,2230,2270,2270,31794100
6-Feb-25,2360,2370,2260,2290,2290,25004000
5-Feb-25,2390,2390,2320,2360,2360,44623600
4-Feb-25,2310,2370,2290,2330,2330,40429000
3-Feb-25,2320,2330,2260,2310,2310,41039600
31-Jan-25,2310,2340,2290,2330,2330,28461600
30-Jan-25,2310,2320,2250,2300,2300,69364100
24-Jan-25,2340,2360,2280,2300,2300,49262300
23-Jan-25,2330,2390,2310,2340,2340,89773300
22-Jan-25,2330,2350,2320,2320,2320,38370100
21-Jan-25,2360,2370,2310,2310,2310,48624800
20-Jan-25,2400,2420,2350,2350,2350,45514100
17-Jan-25,2420,2430,2360,2400,2400,42754800
16-Jan-25,2420,2470,2400,2410,2410,64925500
15-Jan-25,2380,2430,2360,2400,2400,64611600
14-Jan-25,2380,2420,2360,2360,2360,60111900
13-Jan-25,2330,2390,2300,2350,2350,74767000
10-Jan-25,2360,2390,2320,2320,2320,62624200
9-Jan-25,2420,2430,2340,2340,2340,45892800
8-Jan-25,2470,2520,2400,2400,2400,61062900
7-Jan-25,2380,2480,2320,2470,2470,67782800
6-Jan-25,2470,2480,2380,2380,2380,49081900
3-Jan-25,2530,2580,2450,2460,2460,76328900
2-Jan-25,2440,2540,2430,2530,2530,64116400
30-Dec-24,2440,2470,2410,2430,2430,75087400
27-Dec-24,2530,2540,2490,2540,2540,64253200
24-Dec-24,2540,2610,2510,2510,2510,70990000
23-Dec-24,2580,2590,2520,2540,2540,49626700
20-Dec-24,2540,2580,2510,2550,2550,65183500
19-Dec-24,2570,2580,2520,2540,2540,57029200
18-Dec-24,2590,2630,2540,2590,2590,91709300
17-Dec-24,2650,2660,2510,2510,2510,94626300
16-Dec-24,2580,2660,2480,2600,2600,137736700
13-Dec-24,2550,2630,2540,2580,2580,110671800
12-Dec-24,2610,2660,2510,2530,2530,120595500
11-Dec-24,2730,2770,2610,2610,2610,159744000
10-Dec-24,2700,2880,2620,2730,2730,360677800
9-Dec-24,2310,2700,2310,2680,2680,509279500
6-Dec-24,2340,2340,2290,2300,2300,152806600
5-Dec-24,2390,2420,2300,2340,2340,179016300
4-Dec-24,2370,2380,2300,2360,2360,135756100
3-Dec-24,2330,2430,2280,2360,2360,258567000
2-Dec-24,2090,2380,2090,2310,2310,517878000
29-Nov-24,2070,2210,2070,2080,2080,1047877300
28-Nov-24,"1,358.18 Dividend",,,,,
