Date,Open,High,Low,Close ,Adj Close ,Volume
28-Feb-25,"1,025.00","1,030.00","1,000.00","1,000.00","1,000.00","55,165,200"
27-Feb-25,"1,045.00","1,050.00","1,010.00","1,030.00","1,030.00","29,193,400"
26-Feb-25,"1,015.00","1,045.00","1,010.00","1,045.00","1,045.00","30,253,800"
25-Feb-25,"1,050.00","1,055.00","1,015.00","1,035.00","1,035.00","22,070,000"
24-Feb-25,"1,060.00","1,060.00","1,035.00","1,055.00","1,055.00","20,462,700"
21-Feb-25,"1,065.00","1,075.00","1,040.00","1,060.00","1,060.00","26,800,000"
20-Feb-25,"1,065.00","1,080.00","1,055.00","1,065.00","1,065.00","15,216,600"
19-Feb-25,"1,085.00","1,090.00","1,065.00","1,070.00","1,070.00","17,028,900"
18-Feb-25,"1,100.00","1,105.00","1,080.00","1,085.00","1,085.00","23,760,500"
17-Feb-25,"1,070.00","1,100.00","1,060.00","1,090.00","1,090.00","19,500,600"
14-Feb-25,"1,045.00","1,070.00","1,045.00","1,070.00","1,070.00","22,607,600"
13-Feb-25,"1,030.00","1,055.00","1,030.00","1,040.00","1,040.00","13,679,800"
12-Feb-25,"1,055.00","1,065.00","1,040.00","1,040.00","1,040.00","29,105,300"
11-Feb-25,"1,060.00","1,060.00","1,040.00","1,050.00","1,050.00","22,060,900"
10-Feb-25,"1,040.00","1,060.00","1,020.00","1,060.00","1,060.00","24,467,500"
7-Feb-25,"1,030.00","1,035.00","1,000.00","1,035.00","1,035.00","40,501,400"
6-Feb-25,"1,060.00","1,065.00","1,030.00","1,030.00","1,030.00","23,640,400"
5-Feb-25,"1,050.00","1,070.00","1,035.00","1,070.00","1,070.00","25,474,900"
4-Feb-25,"1,065.00","1,075.00","1,045.00","1,050.00","1,050.00","20,590,200"
3-Feb-25,"1,080.00","1,080.00","1,045.00","1,075.00","1,075.00","27,339,800"
31-Jan-25,"1,055.00","1,080.00","1,055.00","1,080.00","1,080.00","20,806,600"
30-Jan-25,"1,110.00","1,110.00","1,050.00","1,050.00","1,050.00","28,631,800"
24-Jan-25,"1,120.00","1,120.00","1,100.00","1,105.00","1,105.00","17,571,800"
23-Jan-25,"1,105.00","1,125.00","1,090.00","1,125.00","1,125.00","27,318,000"
22-Jan-25,"1,090.00","1,105.00","1,065.00","1,105.00","1,105.00","60,882,700"
21-Jan-25,"1,170.00","1,170.00","1,095.00","1,095.00","1,095.00","61,046,000"
20-Jan-25,"1,190.00","1,190.00","1,155.00","1,170.00","1,170.00","23,625,200"
17-Jan-25,"1,180.00","1,195.00","1,155.00","1,185.00","1,185.00","27,122,700"
16-Jan-25,"1,220.00","1,235.00","1,180.00","1,180.00","1,180.00","44,041,300"
15-Jan-25,"1,185.00","1,195.00","1,160.00","1,195.00","1,195.00","30,433,100"
14-Jan-25,"1,200.00","1,215.00","1,175.00","1,190.00","1,190.00","33,058,700"
13-Jan-25,"1,165.00","1,210.00","1,155.00","1,200.00","1,200.00","83,766,400"
10-Jan-25,"1,130.00","1,140.00","1,120.00","1,120.00","1,120.00","20,785,700"
9-Jan-25,"1,130.00","1,145.00","1,115.00","1,130.00","1,130.00","14,650,700"
8-Jan-25,"1,130.00","1,135.00","1,105.00","1,130.00","1,130.00","34,386,600"
7-Jan-25,"1,140.00","1,150.00","1,090.00","1,130.00","1,130.00","33,911,700"
6-Jan-25,"1,150.00","1,170.00","1,140.00","1,140.00","1,140.00","23,441,400"
3-Jan-25,"1,145.00","1,155.00","1,135.00","1,135.00","1,135.00","22,600,000"
2-Jan-25,"1,120.00","1,145.00","1,115.00","1,120.00","1,120.00","23,063,400"
30-Dec-24,"1,110.00","1,120.00","1,095.00","1,100.00","1,100.00","13,138,900"
27-Dec-24,"1,095.00","1,120.00","1,095.00","1,105.00","1,105.00","12,255,100"
24-Dec-24,"1,095.00","1,110.00","1,080.00","1,090.00","1,090.00","16,899,700"
23-Dec-24,"1,105.00","1,110.00","1,080.00","1,095.00","1,095.00","17,883,000"
20-Dec-24,"1,060.00","1,125.00","1,060.00","1,090.00","1,090.00","66,863,300"
19-Dec-24,"1,020.00","1,070.00","1,015.00","1,050.00","1,050.00","56,177,800"
18-Dec-24,"1,045.00","1,090.00","1,015.00","1,030.00","1,030.00","55,043,100"
17-Dec-24,"1,070.00","1,080.00","1,040.00","1,045.00","1,045.00","24,612,600"
16-Dec-24,"1,100.00","1,100.00","1,065.00","1,070.00","1,070.00","25,109,300"
13-Dec-24,"1,115.00","1,130.00","1,085.00","1,090.00","1,090.00","23,313,000"
12-Dec-24,"1,160.00","1,170.00","1,105.00","1,120.00","1,120.00","28,938,000"
11-Dec-24,"1,150.00","1,165.00","1,140.00","1,140.00","1,140.00","14,846,800"
10-Dec-24,"1,140.00","1,165.00","1,140.00","1,150.00","1,150.00","26,310,600"
9-Dec-24,"1,145.00","1,155.00","1,125.00","1,135.00","1,135.00","33,008,800"
6-Dec-24,"1,105.00","1,160.00","1,080.00","1,150.00","1,150.00","57,392,300"
5-Dec-24,"1,125.00","1,130.00","1,100.00","1,125.00","1,125.00","14,337,700"
4-Dec-24,"1,085.00","1,135.00","1,080.00","1,130.00","1,130.00","23,670,400"
3-Dec-24,"1,050.00","1,075.00","1,045.00","1,070.00","1,070.00","18,267,900"
2-Dec-24,"1,095.00","1,115.00","1,050.00","1,050.00","1,050.00","20,359,200"
29-Nov-24,"1,130.00","1,140.00","1,090.00","1,090.00","1,090.00","22,014,700"
28-Nov-24,"1,125.00","1,140.00","1,120.00","1,125.00","1,125.00","6,527,200"
26-Nov-24,"1,160.00","1,160.00","1,120.00","1,125.00","1,125.00","20,457,100"
25-Nov-24,"1,155.00","1,185.00","1,150.00","1,170.00","1,170.00","22,962,600"
22-Nov-24,"1,155.00","1,160.00","1,135.00","1,145.00","1,145.00","22,511,200"
21-Nov-24,"1,155.00","1,155.00","1,120.00","1,145.00","1,145.00","22,711,800"
20-Nov-24,"1,105.00","1,150.00","1,105.00","1,140.00","1,140.00","32,228,800"
19-Nov-24,"1,085.00","1,125.00","1,080.00","1,090.00","1,090.00","36,700,300"
18-Nov-24,"1,115.00","1,120.00","1,060.00","1,065.00","1,065.00","42,382,000"
15-Nov-24,"1,160.00","1,160.00","1,105.00","1,115.00","1,115.00","35,255,900"
14-Nov-24,"1,185.00","1,195.00","1,130.00","1,145.00","1,145.00","37,857,700"
13-Nov-24,"1,180.00","1,205.00","1,180.00","1,185.00","1,185.00","25,257,200"
12-Nov-24,"1,200.00","1,205.00","1,175.00","1,180.00","1,180.00","41,263,200"
11-Nov-24,"1,225.00","1,225.00","1,195.00","1,210.00","1,210.00","23,841,100"
8-Nov-24,"1,235.00","1,255.00","1,220.00","1,230.00","1,230.00","24,188,200"
7-Nov-24,"1,205.00","1,280.00","1,185.00","1,225.00","1,225.00","70,378,600"
6-Nov-24,"1,265.00","1,275.00","1,200.00","1,205.00","1,205.00","47,710,600"
5-Nov-24,"1,285.00","1,285.00","1,260.00","1,265.00","1,265.00","16,506,500"
