Date,Open,High,Low,Close ,Adj Close ,Volume
28-Feb-25,"2,600.00","2,610.00","2,480.00","2,590.00","2,590.00","21,109,800"
27-Feb-25,"2,610.00","2,650.00","2,610.00","2,620.00","2,620.00","11,462,100"
26-Feb-25,"2,620.00","2,640.00","2,600.00","2,610.00","2,610.00","7,508,100"
25-Feb-25,"2,650.00","2,670.00","2,610.00","2,620.00","2,620.00","10,908,400"
24-Feb-25,"2,650.00","2,700.00","2,630.00","2,640.00","2,640.00","8,644,300"
21-Feb-25,"2,660.00","2,690.00","2,640.00","2,660.00","2,660.00","7,654,900"
20-Feb-25,"2,670.00","2,700.00","2,630.00","2,670.00","2,670.00","8,642,500"
19-Feb-25,"2,700.00","2,720.00","2,660.00","2,660.00","2,660.00","11,910,500"
18-Feb-25,"2,710.00","2,720.00","2,680.00","2,690.00","2,690.00","6,466,600"
17-Feb-25,"2,710.00","2,710.00","2,680.00","2,710.00","2,710.00","5,549,300"
14-Feb-25,"2,680.00","2,740.00","2,660.00","2,710.00","2,710.00","9,924,200"
13-Feb-25,"2,640.00","2,730.00","2,610.00","2,690.00","2,690.00","7,256,600"
12-Feb-25,"2,620.00","2,640.00","2,590.00","2,640.00","2,640.00","4,652,700"
11-Feb-25,"2,620.00","2,640.00","2,600.00","2,620.00","2,620.00","5,596,900"
10-Feb-25,"2,670.00","2,670.00","2,620.00","2,620.00","2,620.00","7,866,600"
7-Feb-25,"2,650.00","2,700.00","2,600.00","2,670.00","2,670.00","6,640,700"
6-Feb-25,"2,720.00","2,730.00","2,650.00","2,650.00","2,650.00","9,826,200"
5-Feb-25,"2,680.00","2,740.00","2,680.00","2,720.00","2,720.00","8,030,000"
4-Feb-25,"2,680.00","2,750.00","2,670.00","2,690.00","2,690.00","8,784,900"
3-Feb-25,"2,690.00","2,690.00","2,650.00","2,670.00","2,670.00","8,952,800"
31-Jan-25,"2,660.00","2,700.00","2,630.00","2,690.00","2,690.00","9,102,600"
30-Jan-25,"2,700.00","2,710.00","2,660.00","2,680.00","2,680.00","7,985,700"
24-Jan-25,"2,700.00","2,720.00","2,680.00","2,700.00","2,700.00","5,699,600"
23-Jan-25,"2,710.00","2,710.00","2,680.00","2,700.00","2,700.00","6,637,800"
22-Jan-25,"2,690.00","2,740.00","2,690.00","2,710.00","2,710.00","10,055,500"
21-Jan-25,"2,680.00","2,690.00","2,670.00","2,690.00","2,690.00","6,286,700"
20-Jan-25,"2,670.00","2,700.00","2,660.00","2,660.00","2,660.00","8,433,900"
17-Jan-25,"2,690.00","2,700.00","2,660.00","2,680.00","2,680.00","8,275,600"
16-Jan-25,"2,670.00","2,710.00","2,670.00","2,690.00","2,690.00","13,448,300"
15-Jan-25,"2,620.00","2,670.00","2,620.00","2,670.00","2,670.00","10,005,600"
14-Jan-25,"2,610.00","2,660.00","2,600.00","2,620.00","2,620.00","10,125,500"
13-Jan-25,"2,690.00","2,690.00","2,610.00","2,610.00","2,610.00","14,542,900"
10-Jan-25,"2,610.00","2,720.00","2,610.00","2,690.00","2,690.00","13,279,300"
9-Jan-25,"2,640.00","2,640.00","2,610.00","2,620.00","2,620.00","7,940,500"
8-Jan-25,"2,610.00","2,680.00","2,610.00","2,640.00","2,640.00","7,642,200"
7-Jan-25,"2,650.00","2,670.00","2,610.00","2,640.00","2,640.00","10,403,000"
6-Jan-25,"2,700.00","2,710.00","2,650.00","2,650.00","2,650.00","8,069,600"
3-Jan-25,"2,700.00","2,710.00","2,680.00","2,700.00","2,700.00","6,270,800"
2-Jan-25,"2,750.00","2,760.00","2,670.00","2,680.00","2,680.00","11,358,800"
30-Dec-24,"2,630.00","2,750.00","2,620.00","2,750.00","2,750.00","16,423,500"
27-Dec-24,"2,600.00","2,640.00","2,600.00","2,620.00","2,620.00","7,571,900"
24-Dec-24,"2,600.00","2,620.00","2,590.00","2,590.00","2,590.00","5,148,700"
23-Dec-24,"2,600.00","2,620.00","2,590.00","2,590.00","2,590.00","7,109,000"
20-Dec-24,"2,590.00","2,630.00","2,590.00","2,590.00","2,590.00","6,238,800"
19-Dec-24,"2,680.00","2,680.00","2,570.00","2,580.00","2,580.00","23,987,000"
18-Dec-24,"2,670.00","2,710.00","2,660.00","2,680.00","2,680.00","5,529,700"
17-Dec-24,"2,740.00","2,740.00","2,670.00","2,670.00","2,670.00","12,049,200"
16-Dec-24,"2,780.00","2,790.00","2,720.00","2,740.00","2,740.00","9,329,800"
13-Dec-24,"2,800.00","2,810.00","2,770.00","2,780.00","2,780.00","4,660,300"
12-Dec-24,"2,800.00","2,830.00","2,780.00","2,800.00","2,800.00","9,050,900"
11-Dec-24,"2,830.00","2,860.00","2,790.00","2,800.00","2,800.00","13,120,800"
10-Dec-24,"2,760.00","2,860.00","2,740.00","2,830.00","2,830.00","28,227,200"
9-Dec-24,"2,730.00","2,760.00","2,730.00","2,750.00","2,750.00","10,858,500"
6-Dec-24,"2,730.00","2,730.00","2,700.00","2,730.00","2,730.00","7,213,200"
5-Dec-24,"2,730.00","2,770.00","2,700.00","2,740.00","2,740.00","8,311,500"
4-Dec-24,"2,700.00","2,750.00","2,700.00","2,710.00","2,710.00","10,573,800"
3-Dec-24,"2,670.00","2,710.00","2,670.00","2,700.00","2,700.00","6,349,300"
2-Dec-24,"2,700.00","2,730.00","2,660.00","2,670.00","2,670.00","12,311,800"
29-Nov-24,"2,790.00","2,790.00","2,700.00","2,700.00","2,700.00","10,744,500"
28-Nov-24,"2,760.00","2,790.00","2,740.00","2,790.00","2,790.00","5,875,400"
26-Nov-24,"2,830.00","2,830.00","2,760.00","2,760.00","2,760.00","6,816,800"
25-Nov-24,"2,770.00","2,830.00","2,760.00","2,800.00","2,800.00","12,285,400"
22-Nov-24,"2,750.00","2,780.00","2,740.00","2,770.00","2,770.00","5,347,300"
21-Nov-24,"2,740.00","2,770.00","2,720.00","2,720.00","2,720.00","4,713,200"
20-Nov-24,"2,770.00","2,780.00","2,720.00","2,740.00","2,740.00","5,495,500"
19-Nov-24,"2,720.00","2,790.00","2,720.00","2,770.00","2,770.00","6,834,200"
18-Nov-24,"2,750.00","2,770.00","2,700.00","2,720.00","2,720.00","11,015,500"
15-Nov-24,"2,770.00","2,800.00","2,750.00","2,750.00","2,750.00","8,098,700"
14-Nov-24,"2,810.00","2,810.00","2,770.00","2,770.00","2,770.00","8,777,600"
13-Nov-24,"2,870.00","2,890.00","2,810.00","2,810.00","2,810.00","11,390,000"
12-Nov-24,"2,780.00","2,890.00","2,780.00","2,870.00","2,870.00","18,297,100"
11-Nov-24,"2,800.00","2,800.00","2,750.00","2,770.00","2,770.00","16,646,500"
8-Nov-24,"2,830.00","2,840.00","2,800.00","2,800.00","2,800.00","9,176,000"
7-Nov-24,"2,860.00","2,860.00","2,810.00","2,830.00","2,830.00","9,943,500"
6-Nov-24,"2,900.00","2,900.00","2,840.00","2,860.00","2,860.00","9,440,000"
5-Nov-24,"2,880.00","2,920.00","2,860.00","2,890.00","2,890.00","13,393,700"
4-Nov-24,"2,920.00","2,920.00","2,850.00","2,870.00","2,870.00","9,847,800"
1-Nov-24,"2,950.00","2,950.00","2,880.00","2,920.00","2,920.00","14,265,400"
31-Oct-24,"2,850.00","2,960.00","2,840.00","2,960.00","2,960.00","22,804,100"
30-Oct-24,"2,850.00","2,880.00","2,800.00","2,840.00","2,840.00","17,122,400"
29-Oct-24,"2,850.00","2,870.00","2,830.00","2,850.00","2,850.00","9,846,900"
28-Oct-24,"2,880.00","2,910.00","2,840.00","2,870.00","2,870.00","16,500,200"
25-Oct-24,"2,920.00","2,940.00","2,870.00","2,880.00","2,880.00","17,372,800"
24-Oct-24,"2,950.00","2,970.00","2,920.00","2,920.00","2,920.00","13,921,900"
23-Oct-24,"3,040.00","3,050.00","2,950.00","2,950.00","2,950.00","29,092,600"
22-Oct-24,"3,020.00","3,050.00","3,020.00","3,040.00","3,040.00","7,584,100"
21-Oct-24,"3,050.00","3,050.00","3,010.00","3,020.00","3,020.00","15,196,900"
18-Oct-24,"3,070.00","3,080.00","3,030.00","3,050.00","3,050.00","12,261,800"
17-Oct-24,"3,080.00","3,090.00","3,060.00","3,060.00","3,060.00","12,348,900"
16-Oct-24,"3,120.00","3,120.00","3,050.00","3,080.00","3,080.00","21,907,400"
15-Oct-24,"3,100.00","3,140.00","3,080.00","3,100.00","3,100.00","24,711,000"
14-Oct-24,"3,040.00","3,120.00","3,030.00","3,100.00","3,100.00","30,455,100"
11-Oct-24,"3,050.00","3,060.00","3,020.00","3,030.00","3,030.00","10,016,300"
10-Oct-24,"3,050.00","3,070.00","3,020.00","3,020.00","3,020.00","15,849,000"
9-Oct-24,"3,080.00","3,080.00","3,020.00","3,050.00","3,050.00","14,404,900"
8-Oct-24,"3,110.00","3,120.00","3,060.00","3,080.00","3,080.00","21,266,900"
7-Oct-24,"3,060.00","3,140.00","3,060.00","3,100.00","3,100.00","31,774,800"
4-Oct-24,"3,060.00","3,100.00","2,990.00","2,990.00","2,990.00","27,042,800"
3-Oct-24,"3,050.00","3,080.00","3,030.00","3,060.00","3,060.00","18,192,500"
2-Oct-24,"3,070.00","3,080.00","3,010.00","3,050.00","3,050.00","23,254,500"
1-Oct-24,"3,080.00","3,120.00","2,990.00","3,070.00","3,070.00","55,814,500"
30-Sep-24,"3,150.00","3,180.00","3,070.00","3,080.00","3,080.00","37,413,700"
27-Sep-24,"3,110.00","3,140.00","3,040.00","3,140.00","3,140.00","43,117,300"
26-Sep-24,"3,100.00","3,120.00","3,070.00","3,110.00","3,110.00","30,074,500"
25-Sep-24,"3,120.00","3,160.00","3,040.00","3,080.00","3,080.00","41,602,600"
24-Sep-24,"3,120.00","3,140.00","3,060.00","3,100.00","3,100.00","42,900,500"
23-Sep-24,"2,950.00","3,130.00","2,930.00","3,120.00","3,120.00","127,993,400"
20-Sep-24,"2,790.00","2,950.00","2,760.00","2,950.00","2,950.00","85,703,000"
19-Sep-24,"2,780.00","2,800.00","2,760.00","2,780.00","2,780.00","10,019,700"
18-Sep-24,"2,810.00","2,820.00","2,780.00","2,780.00","2,780.00","9,166,700"
17-Sep-24,"2,730.00","2,820.00","2,710.00","2,800.00","2,800.00","32,828,500"
13-Sep-24,"2,720.00","2,740.00","2,700.00","2,730.00","2,730.00","10,996,900"
12-Sep-24,"2,690.00","2,750.00","2,690.00","2,720.00","2,720.00","20,896,600"
11-Sep-24,"2,650.00","2,690.00","2,650.00","2,660.00","2,660.00","9,549,300"
10-Sep-24,"2,690.00","2,710.00","2,650.00","2,670.00","2,670.00","17,035,500"
9-Sep-24,"2,720.00","2,730.00","2,650.00","2,680.00","2,680.00","22,601,600"
6-Sep-24,"2,750.00","2,750.00","2,710.00","2,710.00","2,710.00","13,816,400"
5-Sep-24,"2,760.00","2,780.00","2,710.00","2,750.00","2,750.00","14,614,200"
4-Sep-24,"2,770.00","2,810.00","2,740.00","2,760.00","2,760.00","14,767,300"
3-Sep-24,"2,820.00","2,850.00","2,790.00","2,800.00","2,800.00","14,953,700"
2-Sep-24,"2,740.00","2,820.00","2,730.00","2,820.00","2,820.00","30,665,600"
30-Aug-24,"2,780.00","2,780.00","2,730.00","2,730.00","2,730.00","21,459,200"
29-Aug-24,"2,780.00","2,810.00","2,760.00","2,780.00","2,780.00","15,032,300"
28-Aug-24,"2,790.00","2,800.00","2,770.00","2,780.00","2,780.00","10,744,200"
27-Aug-24,"2,780.00","2,820.00","2,760.00","2,780.00","2,780.00","16,790,600"
26-Aug-24,"2,770.00","2,790.00","2,760.00","2,770.00","2,770.00","12,227,700"
23-Aug-24,"2,720.00","2,790.00","2,720.00","2,760.00","2,760.00","22,179,900"
22-Aug-24,"2,700.00","2,740.00","2,670.00","2,720.00","2,720.00","17,628,700"
21-Aug-24,"2,720.00","2,740.00","2,710.00","2,710.00","2,710.00","12,353,000"
20-Aug-24,"2,720.00","2,730.00","2,700.00","2,720.00","2,720.00","9,550,300"
19-Aug-24,"2,730.00","2,730.00","2,700.00","2,710.00","2,710.00","11,115,900"
16-Aug-24,"2,720.00","2,750.00","2,700.00","2,730.00","2,730.00","25,829,000"
15-Aug-24,"2,720.00","2,720.00","2,670.00","2,700.00","2,700.00","19,410,100"
14-Aug-24,"2,660.00","2,720.00","2,640.00","2,720.00","2,720.00","22,031,400"
13-Aug-24,"2,670.00","2,680.00","2,650.00","2,660.00","2,660.00","8,739,100"
12-Aug-24,"2,590.00","2,650.00","2,590.00","2,650.00","2,650.00","13,483,400"
9-Aug-24,"2,600.00","2,620.00","2,580.00","2,580.00","2,580.00","7,434,400"
8-Aug-24,"2,610.00","2,620.00","2,580.00","2,590.00","2,590.00","8,760,900"
7-Aug-24,"2,600.00","2,630.00","2,590.00","2,610.00","2,610.00","10,480,400"
6-Aug-24,"2,600.00","2,630.00","2,540.00","2,590.00","2,590.00","19,166,600"
5-Aug-24,"2,710.00","2,710.00","2,510.00","2,560.00","2,560.00","48,501,700"
2-Aug-24,"2,670.00","2,740.00","2,660.00","2,720.00","2,720.00","22,835,800"
1-Aug-24,"2,700.00","2,700.00","2,640.00","2,670.00","2,670.00","9,702,200"
31-Jul-24,"2,640.00","2,680.00","2,640.00","2,680.00","2,680.00","10,266,700"
30-Jul-24,"2,680.00","2,690.00","2,640.00","2,640.00","2,640.00","7,184,600"
29-Jul-24,"2,680.00","2,700.00","2,660.00","2,670.00","2,670.00","10,990,800"
26-Jul-24,"2,620.00","2,670.00","2,620.00","2,660.00","2,660.00","8,478,400"
25-Jul-24,"2,620.00","2,660.00","2,600.00","2,610.00","2,610.00","10,327,000"
24-Jul-24,"2,650.00","2,680.00","2,610.00","2,620.00","2,620.00","11,115,400"
23-Jul-24,"2,690.00","2,720.00","2,650.00","2,650.00","2,650.00","21,142,700"
22-Jul-24,"2,640.00","2,700.00","2,640.00","2,680.00","2,680.00","18,786,400"
19-Jul-24,"2,620.00","2,680.00","2,620.00","2,630.00","2,630.00","30,356,300"
18-Jul-24,"2,540.00","2,630.00","2,520.00","2,620.00","2,620.00","26,806,000"
17-Jul-24,"2,550.00","2,550.00","2,530.00","2,540.00","2,540.00","7,325,200"
16-Jul-24,"2,530.00","2,550.00","2,520.00","2,530.00","2,530.00","6,947,800"
15-Jul-24,"2,560.00","2,560.00","2,500.00","2,520.00","2,520.00","12,266,200"
12-Jul-24,"2,550.00","2,560.00","2,530.00","2,530.00","2,530.00","7,888,600"
11-Jul-24,"2,550.00","2,560.00","2,540.00","2,550.00","2,550.00","4,841,300"
10-Jul-24,"2,530.00","2,560.00","2,530.00","2,540.00","2,540.00","7,337,200"
9-Jul-24,"2,550.00","2,570.00","2,530.00","2,530.00","2,530.00","10,477,700"
8-Jul-24,"2,540.00","2,560.00","2,530.00","2,550.00","2,550.00","7,491,700"
5-Jul-24,"2,540.00","2,570.00","2,520.00","2,540.00","2,540.00","9,942,000"
4-Jul-24,"2,520.00","2,570.00","2,510.00","2,530.00","2,530.00","18,794,900"
3-Jul-24,"2,500.00","2,530.00","2,490.00","2,500.00","2,500.00","10,030,300"
2-Jul-24,"2,500.00","2,520.00","2,490.00","2,490.00","2,490.00","9,422,500"
1-Jul-24,"2,460.00","2,500.00","2,450.00","2,500.00","2,500.00","9,767,100"
28-Jun-24,"2,430.00","2,470.00","2,430.00","2,450.00","2,450.00","12,859,800"
27-Jun-24,"2,440.00","2,440.00","2,420.00","2,430.00","2,430.00","4,573,400"
26-Jun-24,"2,410.00","2,440.00","2,400.00","2,440.00","2,440.00","6,341,900"
25-Jun-24,"2,440.00","2,450.00","2,410.00","2,410.00","2,410.00","6,880,400"
24-Jun-24,"2,430.00","2,440.00","2,420.00","2,430.00","2,430.00","6,459,100"
21-Jun-24,"2,430.00","2,450.00","2,380.00","2,420.00","2,420.00","18,936,500"
20-Jun-24,"2,430.00","2,450.00","2,420.00","2,420.00","2,420.00","6,492,600"
19-Jun-24,"2,460.00","2,470.00","2,420.00","2,430.00","2,430.00","5,276,200"
14-Jun-24,"2,520.00","2,520.00","2,450.00","2,460.00","2,460.00","5,659,700"
13-Jun-24,"2,430.00","2,520.00","2,430.00","2,520.00","2,520.00","14,098,000"
12-Jun-24,"2,440.00","2,460.00","2,420.00","2,430.00","2,430.00","6,485,000"
11-Jun-24,"2,480.00","2,500.00","2,440.00","2,440.00","2,440.00","12,171,100"
10-Jun-24,"2,530.00","2,540.00","2,470.00","2,480.00","2,480.00","13,448,200"
7-Jun-24,"2,520.00","2,550.00","2,510.00","2,530.00","2,530.00","7,711,700"
6-Jun-24,"2,530.00","2,540.00","2,500.00","2,510.00","2,510.00","4,891,100"
5-Jun-24,"2,570.00","2,580.00","2,500.00","2,530.00","2,530.00","9,835,700"
4-Jun-24,"2,590.00","2,590.00","2,560.00","2,570.00","2,570.00","11,333,500"
3-Jun-24,"2,500.00","2,590.00","2,500.00","2,580.00","2,580.00","16,723,300"
31-May-24,"2,500.00","2,520.00","2,490.00","2,490.00","2,490.00","15,709,000"
30-May-24,"2,470.00","2,500.00","2,420.00","2,490.00","2,490.00","9,640,300"
29-May-24,"2,520.00","2,530.00","2,460.00","2,470.00","2,470.00","14,743,600"
28-May-24,"2,540.00","2,560.00","2,510.00","2,510.00","2,510.00","11,910,700"
27-May-24,"2,600.00","2,600.00","2,520.00","2,520.00","2,520.00","21,414,000"
22-May-24,"2,570.00","2,600.00","2,570.00","2,590.00","2,590.00","18,229,700"
21-May-24,397.71 Dividend,,,,,
21-May-24,"2,550.00","2,640.00","2,530.00","2,570.00","2,570.00","61,531,400"
20-May-24,"2,930.00","2,960.00","2,910.00","2,930.00","2,532.29","72,080,600"
17-May-24,"2,930.00","2,950.00","2,910.00","2,920.00","2,523.65","30,769,200"
16-May-24,"2,920.00","2,930.00","2,900.00","2,930.00","2,532.29","21,537,000"
15-May-24,"2,940.00","2,950.00","2,900.00","2,910.00","2,515.00","16,338,100"
14-May-24,"2,940.00","2,960.00","2,920.00","2,920.00","2,523.65","22,326,100"
13-May-24,"2,950.00","2,970.00","2,910.00","2,930.00","2,532.29","20,604,500"
8-May-24,"2,900.00","3,020.00","2,790.00","2,930.00","2,532.29","89,508,200"
7-May-24,"2,940.00","2,950.00","2,870.00","2,880.00","2,489.07","19,836,200"
6-May-24,"2,940.00","2,950.00","2,910.00","2,930.00","2,532.29","14,822,200"
3-May-24,"2,910.00","2,950.00","2,890.00","2,930.00","2,532.29","15,044,700"
2-May-24,"2,760.00","2,920.00","2,750.00","2,890.00","2,497.72","45,398,700"
30-Apr-24,"3,000.00","3,030.00","2,980.00","3,030.00","2,618.71","14,322,600"
29-Apr-24,"2,900.00","3,000.00","2,860.00","3,000.00","2,592.79","11,267,600"
26-Apr-24,"2,900.00","2,940.00","2,880.00","2,880.00","2,489.07","11,557,400"
25-Apr-24,"2,960.00","2,960.00","2,870.00","2,890.00","2,497.72","23,582,700"
24-Apr-24,"3,080.00","3,100.00","2,870.00","2,960.00","2,558.22","31,018,500"
23-Apr-24,"3,080.00","3,090.00","3,050.00","3,060.00","2,644.64","8,395,600"
22-Apr-24,"3,140.00","3,150.00","3,060.00","3,080.00","2,661.93","19,618,600"
19-Apr-24,"3,130.00","3,150.00","3,090.00","3,140.00","2,713.78","22,919,300"
18-Apr-24,"3,100.00","3,130.00","3,030.00","3,130.00","2,705.14","26,810,000"
17-Apr-24,"3,120.00","3,160.00","3,060.00","3,090.00","2,670.57","36,783,600"
16-Apr-24,"2,940.00","3,130.00","2,930.00","3,100.00","2,679.21","58,080,000"
5-Apr-24,"2,930.00","2,940.00","2,910.00","2,930.00","2,532.29","9,068,600"
4-Apr-24,"2,910.00","2,940.00","2,880.00","2,930.00","2,532.29","9,335,400"
3-Apr-24,"2,920.00","2,950.00","2,900.00","2,920.00","2,523.65","17,802,900"
2-Apr-24,"2,890.00","2,920.00","2,860.00","2,920.00","2,523.65","16,327,900"
1-Apr-24,"2,970.00","2,970.00","2,850.00","2,890.00","2,497.72","32,364,300"
28-Mar-24,"2,970.00","2,990.00","2,950.00","2,970.00","2,566.86","24,637,300"
27-Mar-24,"2,940.00","2,960.00","2,940.00","2,950.00","2,549.57","12,763,000"
26-Mar-24,"2,950.00","2,950.00","2,900.00","2,940.00","2,540.93","13,218,400"
25-Mar-24,"2,950.00","2,950.00","2,900.00","2,930.00","2,532.29","13,402,300"
22-Mar-24,"2,950.00","2,980.00","2,940.00","2,940.00","2,540.93","15,643,300"
21-Mar-24,"2,900.00","2,980.00","2,900.00","2,950.00","2,549.57","26,602,900"
20-Mar-24,"2,920.00","2,930.00","2,890.00","2,890.00","2,497.72","14,828,300"
19-Mar-24,"2,850.00","2,930.00","2,850.00","2,930.00","2,532.29","21,766,300"
18-Mar-24,"2,860.00","2,880.00","2,840.00","2,850.00","2,463.15","12,802,300"
15-Mar-24,"2,890.00","2,940.00","2,840.00","2,840.00","2,454.50","49,866,500"
14-Mar-24,"2,800.00","2,890.00","2,800.00","2,880.00","2,489.07","31,781,000"
13-Mar-24,"2,900.00","2,900.00","2,800.00","2,800.00","2,419.93","33,678,100"
8-Mar-24,"2,840.00","2,900.00","2,810.00","2,900.00","2,506.36","34,845,300"
7-Mar-24,"2,780.00","2,840.00","2,750.00","2,840.00","2,454.50","30,004,000"
6-Mar-24,"2,760.00","2,790.00","2,730.00","2,780.00","2,402.65","27,998,700"
5-Mar-24,"2,740.00","2,800.00","2,740.00","2,740.00","2,368.08","69,921,100"
4-Mar-24,"2,590.00","2,690.00","2,590.00","2,690.00","2,324.86","27,146,000"
1-Mar-24,"2,590.00","2,610.00","2,570.00","2,580.00","2,229.80","8,631,800"
29-Feb-24,"2,620.00","2,630.00","2,560.00","2,560.00","2,212.51","16,546,000"
28-Feb-24,"2,600.00","2,630.00","2,600.00","2,620.00","2,264.37","4,858,100"
27-Feb-24,"2,600.00","2,610.00","2,590.00","2,590.00","2,238.44","5,649,800"
26-Feb-24,"2,640.00","2,640.00","2,580.00","2,580.00","2,229.80","11,071,200"
23-Feb-24,"2,630.00","2,640.00","2,610.00","2,630.00","2,273.01","3,933,700"
22-Feb-24,"2,610.00","2,650.00","2,600.00","2,630.00","2,273.01","6,881,000"
21-Feb-24,"2,640.00","2,640.00","2,600.00","2,610.00","2,255.72","7,854,800"
20-Feb-24,"2,690.00","2,690.00","2,640.00","2,640.00","2,281.65","9,295,000"
19-Feb-24,"2,680.00","2,690.00","2,650.00","2,690.00","2,324.86","10,044,100"
16-Feb-24,"2,680.00","2,690.00","2,650.00","2,680.00","2,316.22","13,090,200"
15-Feb-24,"2,660.00","2,700.00","2,650.00","2,660.00","2,298.94","10,671,400"
13-Feb-24,"2,650.00","2,660.00","2,630.00","2,640.00","2,281.65","5,620,100"
12-Feb-24,"2,610.00","2,660.00","2,610.00","2,650.00","2,290.29","11,854,100"
7-Feb-24,"2,560.00","2,610.00","2,560.00","2,610.00","2,255.72","6,168,100"
6-Feb-24,"2,550.00","2,570.00","2,540.00","2,560.00","2,212.51","8,824,400"
5-Feb-24,"2,550.00","2,590.00","2,540.00","2,540.00","2,195.23","8,566,700"
2-Feb-24,"2,560.00","2,580.00","2,540.00","2,540.00","2,195.23","6,281,100"
1-Feb-24,"2,610.00","2,610.00","2,560.00","2,560.00","2,212.51","12,264,200"
31-Jan-24,"2,610.00","2,660.00","2,600.00","2,610.00","2,255.72","14,814,000"
30-Jan-24,"2,560.00","2,610.00","2,540.00","2,590.00","2,238.44","8,538,000"
29-Jan-24,"2,570.00","2,590.00","2,560.00","2,570.00","2,221.15","5,576,600"
