Date,Open,High,Low,Close,Adj Close ,Volume
28-Feb-25,2950,2950,2780,2910,2910,2910
27-Feb-25,2890,3030,2880,2960,2960,2960
26-Feb-25,2750,2950,2720,2880,2960,2960
25-Feb-25,2940,2940,2750,2750,2960,2960
24-Feb-25,3040,3040,2930,2940,2960,2960
21-Feb-25,2990,3090,2960,3050,2960,2960
20-Feb-25,"2,890.00","2,930.00","2,850.00","2,870.00","2,870.00","1,123,100"
19-Feb-25,"2,990.00","2,990.00","2,890.00","2,890.00","2,890.00","3,953,500"
18-Feb-25,"2,970.00","3,020.00","2,940.00","2,990.00","2,990.00","6,871,600"
17-Feb-25,"2,810.00","3,000.00","2,810.00","2,970.00","2,970.00","7,969,100"
14-Feb-25,"2,800.00","2,840.00","2,780.00","2,780.00","2,780.00","4,746,400"
13-Feb-25,"2,740.00","2,800.00","2,720.00","2,780.00","2,780.00","6,294,000"
12-Feb-25,"2,710.00","2,780.00","2,700.00","2,710.00","2,710.00","7,446,400"
11-Feb-25,"2,830.00","2,870.00","2,710.00","2,710.00","2,710.00","5,669,900"
10-Feb-25,"2,940.00","2,940.00","2,830.00","2,830.00","2,830.00","6,072,800"
7-Feb-25,"2,850.00","2,940.00","2,800.00","2,930.00","2,930.00","10,357,200"
6-Feb-25,"2,870.00","2,870.00","2,780.00","2,840.00","2,840.00","7,340,300"
5-Feb-25,"2,850.00","2,880.00","2,800.00","2,840.00","2,840.00","7,042,800"
4-Feb-25,"2,850.00","2,910.00","2,800.00","2,820.00","2,820.00","8,754,300"
3-Feb-25,"3,010.00","3,020.00","2,810.00","2,840.00","2,840.00","18,695,500"
31-Jan-25,"3,040.00","3,080.00","2,990.00","3,000.00","3,000.00","12,502,300"
30-Jan-25,"3,220.00","3,230.00","3,010.00","3,040.00","3,040.00","16,002,000"
24-Jan-25,"3,430.00","3,460.00","3,200.00","3,210.00","3,210.00","19,583,400"
23-Jan-25,"3,540.00","3,540.00","3,420.00","3,420.00","3,420.00","6,833,300"
22-Jan-25,"3,590.00","3,620.00","3,540.00","3,540.00","3,540.00","3,338,000"
21-Jan-25,"3,600.00","3,640.00","3,580.00","3,580.00","3,580.00","3,025,900"
20-Jan-25,"3,570.00","3,650.00","3,570.00","3,580.00","3,580.00","4,849,200"
17-Jan-25,"3,600.00","3,630.00","3,560.00","3,570.00","3,570.00","3,584,000"
16-Jan-25,"3,620.00","3,630.00","3,580.00","3,590.00","3,590.00","3,703,700"
15-Jan-25,"3,700.00","3,710.00","3,580.00","3,650.00","3,650.00","8,441,400"
14-Jan-25,"3,440.00","3,750.00","3,440.00","3,680.00","3,680.00","18,120,900"
13-Jan-25,"3,450.00","3,500.00","3,430.00","3,430.00","3,430.00","5,468,400"
