Date,Open,High,Low,Close ,Adj Close ,Volume
28-Feb-25,"1,520.00","1,550.00","1,480.00","1,505.00","1,505.00","43,721,600"
27-Feb-25,"1,595.00","1,615.00","1,505.00","1,530.00","1,530.00","73,543,200"
26-Feb-25,"1,645.00","1,660.00","1,585.00","1,615.00","1,615.00","21,624,900"
25-Feb-25,"1,680.00","1,680.00","1,615.00","1,635.00","1,635.00","19,998,400"
24-Feb-25,"1,655.00","1,710.00","1,640.00","1,665.00","1,665.00","11,261,400"
21-Feb-25,"1,685.00","1,685.00","1,645.00","1,660.00","1,660.00","14,786,000"
20-Feb-25,"1,685.00","1,700.00","1,675.00","1,685.00","1,685.00","13,862,000"
19-Feb-25,"1,710.00","1,710.00","1,670.00","1,685.00","1,685.00","20,119,600"
18-Feb-25,"1,685.00","1,715.00","1,685.00","1,700.00","1,700.00","28,874,000"
17-Feb-25,"1,650.00","1,690.00","1,635.00","1,685.00","1,685.00","22,340,400"
14-Feb-25,"1,630.00","1,660.00","1,625.00","1,645.00","1,645.00","23,390,200"
13-Feb-25,"1,640.00","1,655.00","1,605.00","1,625.00","1,625.00","41,667,900"
12-Feb-25,"1,640.00","1,650.00","1,620.00","1,640.00","1,640.00","20,008,400"
11-Feb-25,"1,605.00","1,655.00","1,605.00","1,630.00","1,630.00","43,807,400"
10-Feb-25,"1,575.00","1,620.00","1,560.00","1,595.00","1,595.00","23,764,300"
7-Feb-25,"1,565.00","1,595.00","1,530.00","1,575.00","1,575.00","19,952,200"
6-Feb-25,"1,635.00","1,640.00","1,565.00","1,565.00","1,565.00","22,370,800"
5-Feb-25,"1,630.00","1,635.00","1,605.00","1,630.00","1,630.00","33,165,300"
4-Feb-25,"1,600.00","1,620.00","1,580.00","1,585.00","1,585.00","9,938,300"
3-Feb-25,"1,600.00","1,605.00","1,560.00","1,590.00","1,590.00","21,401,500"
31-Jan-25,"1,635.00","1,635.00","1,595.00","1,600.00","1,600.00","30,190,500"
30-Jan-25,"1,650.00","1,650.00","1,610.00","1,630.00","1,630.00","15,516,700"
24-Jan-25,"1,655.00","1,670.00","1,630.00","1,650.00","1,650.00","25,240,000"
23-Jan-25,"1,610.00","1,660.00","1,595.00","1,650.00","1,650.00","36,992,500"
22-Jan-25,"1,620.00","1,625.00","1,580.00","1,585.00","1,585.00","19,929,500"
21-Jan-25,"1,620.00","1,630.00","1,600.00","1,610.00","1,610.00","13,780,400"
20-Jan-25,"1,625.00","1,650.00","1,595.00","1,610.00","1,610.00","27,396,800"
17-Jan-25,"1,655.00","1,660.00","1,620.00","1,630.00","1,630.00","24,404,700"
16-Jan-25,"1,670.00","1,675.00","1,640.00","1,645.00","1,645.00","23,295,200"
15-Jan-25,"1,655.00","1,675.00","1,650.00","1,655.00","1,655.00","19,889,800"
14-Jan-25,"1,720.00","1,720.00","1,655.00","1,655.00","1,655.00","38,453,400"
13-Jan-25,"1,705.00","1,725.00","1,690.00","1,715.00","1,715.00","40,585,600"
10-Jan-25,"1,675.00","1,710.00","1,675.00","1,705.00","1,705.00","38,298,100"
9-Jan-25,"1,665.00","1,690.00","1,650.00","1,675.00","1,675.00","29,178,300"
8-Jan-25,"1,640.00","1,680.00","1,640.00","1,665.00","1,665.00","25,784,000"
7-Jan-25,"1,720.00","1,720.00","1,635.00","1,645.00","1,645.00","66,967,600"
6-Jan-25,"1,595.00","1,725.00","1,595.00","1,715.00","1,715.00","159,352,500"
3-Jan-25,"1,610.00","1,620.00","1,595.00","1,595.00","1,595.00","18,495,500"
2-Jan-25,"1,610.00","1,610.00","1,590.00","1,610.00","1,610.00","18,989,200"
30-Dec-24,"1,600.00","1,610.00","1,580.00","1,590.00","1,590.00","22,306,500"
